"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\fbla-backend\server.js", "JavaScript", 52, 4, 9, 65
"Total", "-", 52, 4, 9, 65
